instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
fnl4461_0250.txt,fnl4461,,250,47,362509.2520,361082.1886,345288.0837,157,31,iter_limit,19,10,8794.8828,10,5.6565,9.7819,1669.8321,1685.2706,OK
fnl4461_0500.txt,fnl4461,,500,47,252019.3233,246592.6201,229568.6825,211,54,time_limit,26,19,8739.1533,19,10.8137,103.2709,3602.9180,3717.0026,OK
fnl4461_1000.txt,fnl4461,,1000,47,177167.2913,162520.3905,150767.8172,158,71,time_limit,19,15,4323.9495,12,26.3378,571.1555,3609.0498,4206.5431,OK
lin318_005.txt,lin318,,5,47,208774.2447,202286.5551,180281.2051,130,9,iter_limit,10,4,1058.2351,2,0.0041,0.0216,22.6183,22.6440,OK
lin318_015.txt,lin318,,15,47,97396.0657,97396.0657,88901.5631,99,8,iter_limit,8,2,1403.6945,2,0.0076,0.0028,15.3456,15.3561,OK
lin318_040.txt,lin318,,40,47,57304.1368,52112.8788,47996.2137,191,14,iter_limit,23,6,648.9760,6,0.0125,0.0556,110.7411,110.8093,OK
lin318_070.txt,lin318,,70,47,39721.2532,34247.3810,32348.8971,107,14,iter_limit,13,3,78.5337,2,0.0166,0.1767,280.4304,280.6237,OK
lin318_100.txt,lin318,,100,47,36476.8498,24694.1991,23118.0508,228,17,iter_limit,28,8,0.0000,1,0.0248,0.6169,663.6452,664.2869,OK
p3038_1000.dat,p3038,,1000,47,113028.5198,94989.3182,87384.8138,272,87,time_limit,34,18,3524.0937,15,21.3024,427.7757,3607.1358,4056.2140,OK
p3038_600.dat,p3038,,600,47,151123.9490,138208.3563,126076.8926,309,73,time_limit,38,26,4982.1523,22,8.3970,151.5871,3608.8779,3768.8621,OK
p3038_700.dat,p3038,,700,47,143309.7794,123299.5750,111100.8989,206,50,iter_limit,25,16,7728.4341,15,10.9768,244.9502,2578.0150,2833.9421,OK
p3038_800.dat,p3038,,800,47,133590.0272,111609.4796,102426.8847,269,68,time_limit,33,19,4390.1729,17,13.9372,362.1949,3606.8332,3982.9654,OK
p3038_900.dat,p3038,,900,47,128052.6837,104219.7883,94090.3308,254,77,time_limit,31,21,5210.4213,19,17.9058,404.5990,3603.2915,4025.7963,OK
pr2392_020.txt,pr2392,,20,47,2267991.1782,2267991.1782,2232120.6527,151,12,iter_limit,15,4,17244.4872,4,0.5318,0.1377,392.7350,393.4045,OK
pr2392_075.txt,pr2392,,75,47,1187739.7420,1181662.5290,1097913.0397,204,23,iter_limit,25,10,35279.5835,10,0.6733,1.4494,411.2691,413.3919,OK
